id,target
300000,0.763024
300001,0.39035213
300002,0.98067725
300003,0.4809445
300004,0.1285916
300005,0.8439734
300006,0.34209657
300007,0.8160724
300008,0.68948567
300009,0.511569
300010,0.675789
300011,0.6143942
300012,0.4825086
300013,0.65331995
300014,0.6511483
300015,0.5303197
300016,0.89693195
300017,0.4298178
300018,0.7991482
300019,0.32561815
300020,0.7704114
300021,0.37194765
300022,0.7486336
300023,0.97035784
300024,0.81223667
300025,0.97931147
300026,0.8605779
300027,0.976747
300028,0.95826113
300029,0.18632978
300030,0.89925766
300031,0.9546265
300032,0.82534254
300033,0.93208635
300034,0.8832942
300035,0.5684943
300036,0.9958181
300037,0.9332286
300038,0.50235504
300039,0.2355271
300040,0.8367823
300041,0.90269697
300042,0.82817626
300043,0.4363082
300044,0.50498796
300045,0.9283518
300046,0.94199884
300047,0.6020231
300048,0.53100705
300049,0.7326083
300050,0.8996592
300051,0.2673961
300052,0.9625385
300053,0.8878542
300054,0.27504385
300055,0.824403
300056,0.87145823
300057,0.929813
300058,0.53025043
300059,0.4408784
300060,0.7579152
300061,0.42105287
300062,0.71296686
300063,0.5313331
300064,0.96532136
300065,0.78659314
300066,0.7231549
300067,0.58650625
300068,0.8408494
300069,0.24773657
300070,0.43894845
300071,0.67796993
300072,0.88073814
300073,0.6176102
300074,0.75676477
300075,0.65768653
300076,0.33592886
300077,0.6952403
300078,0.73470247
300079,0.96030927
300080,0.9919581
300081,0.92713475
300082,0.42132914
300083,0.412498
300084,0.5716679
300085,0.79426295
300086,0.92087877
300087,0.6948519
300088,0.7161244
300089,0.8703066
300090,0.19508213
300091,0.48362416
300092,0.86758244
300093,0.73614836
300094,0.6976783
300095,0.91516376
300096,0.94620484
300097,0.80263925
300098,0.9493902
300099,0.9773722
300100,0.48130202
300101,0.74412113
300102,0.8183373
300103,0.9209301
300104,0.6574574
300105,0.64464486
300106,0.5018108
300107,0.9236269
300108,0.4854033
300109,0.48007494
300110,0.94094723
300111,0.9780724
300112,0.7750102
300113,0.22473854
300114,0.9125475
300115,0.7525813
300116,0.49086326
300117,0.53514653
300118,0.43457818
300119,0.69058836
300120,0.8225168
300121,0.58256817
300122,0.6496229
300123,0.55373406
300124,0.82048357
300125,0.55877876
300126,0.6336625
300127,0.54948425
300128,0.77501065
300129,0.42783207
300130,0.8697789
300131,0.8645886
300132,0.8190683
300133,0.6214911
300134,0.33779633
300135,0.9403131
300136,0.98469776
300137,0.4294626
300138,0.12648296
300139,0.6611366
300140,0.5792489
300141,0.98978597
300142,0.9351006
300143,0.66502726
300144,0.57406294
300145,0.56383854
300146,0.3767895
300147,0.8143699
300148,0.96620065
300149,0.91173303
300150,0.92368925
300151,0.98121345
300152,0.8704032
300153,0.46880257
300154,0.88043785
300155,0.597981
300156,0.43835616
300157,0.9652606
300158,0.4170714
300159,0.92934006
300160,0.629014
300161,0.63066745
300162,0.84278
300163,0.86332715
300164,0.75408936
300165,0.712488
300166,0.98958135
300167,0.561609
300168,0.91779757
300169,0.6054833
300170,0.49598002
300171,0.103752255
300172,0.97537667
300173,0.94800556
300174,0.98807603
300175,0.43799567
300176,0.950291
300177,0.1600979
300178,0.95014334
300179,0.5330423
300180,0.5708004
300181,0.5482718
