id,target
300000,0.6294771
300001,0.32347816
300002,0.87825257
300003,0.5031004
300004,0.19776267
300005,0.83572465
300006,0.57315135
300007,0.8457066
300008,0.44774765
300009,0.49602723
300010,0.6523424
300011,0.56680197
300012,0.57569396
300013,0.5790148
300014,0.66446257
300015,0.4807198
300016,0.9030971
300017,0.42429948
300018,0.67721355
300019,0.32977587
300020,0.53110576
300021,0.54147315
300022,0.84862673
300023,0.9671265
300024,0.83562696
300025,0.96813595
300026,0.8987774
300027,0.9526871
300028,0.9349273
300029,0.24163204
300030,0.8808794
300031,0.87272364
300032,0.69724524
300033,0.8608959
300034,0.92588305
300035,0.59134096
300036,0.851426
300037,0.9189726
300038,0.5982733
300039,0.2703122
300040,0.84538084
300041,0.86847246
300042,0.87420565
300043,0.5951668
300044,0.5284395
300045,0.8267155
300046,0.9258313
300047,0.5078744
300048,0.45067477
300049,0.7300999
300050,0.93051875
300051,0.31743234
300052,0.9334378
300053,0.92008406
300054,0.28651416
300055,0.8496299
300056,0.8816983
300057,0.91569835
300058,0.61000204
300059,0.5149393
300060,0.78574
300061,0.42207062
300062,0.7313407
300063,0.55304086
300064,0.96455026
300065,0.43663478
300066,0.7064748
300067,0.63151556
300068,0.7261889
300069,0.3019067
300070,0.37071198
300071,0.6109016
300072,0.8567381
300073,0.6221584
300074,0.71398985
300075,0.6936536
300076,0.3813383
300077,0.82576597
300078,0.6574007
300079,0.9280226
300080,0.9684503
300081,0.84667546
300082,0.23961997
300083,0.69100136
300084,0.6833484
300085,0.79546696
300086,0.8026916
300087,0.7475155
300088,0.7087028
300089,0.8814127
300090,0.28803778
300091,0.44295013
300092,0.84155244
300093,0.8031128
300094,0.62274396
300095,0.8463607
300096,0.9063446
300097,0.6968715
300098,0.92949414
300099,0.9175101
300100,0.7363758
300101,0.31925935
300102,0.7958156
300103,0.9055473
300104,0.6140864
300105,0.69545406
300106,0.577962
300107,0.88798946
300108,0.47237933
300109,0.53580976
300110,0.86076796
300111,0.98822975
300112,0.60381484
300113,0.36661708
300114,0.8733929
300115,0.84138954
300116,0.3611433
300117,0.60883564
300118,0.55197716
300119,0.750015
300120,0.70778704
300121,0.49537736
300122,0.75406086
300123,0.49732924
300124,0.7388514
300125,0.699431
300126,0.76265657
300127,0.47134113
300128,0.7711113
300129,0.33173102
300130,0.7972276
300131,0.8084409
300132,0.85145384
300133,0.52851653
300134,0.3220111
300135,0.9223081
300136,0.97471666
300137,0.4230559
300138,0.1256864
300139,0.7667103
300140,0.628909
300141,0.9886581
300142,0.93011695
300143,0.57381606
300144,0.54396087
300145,0.62541795
300146,0.2844134
300147,0.8514369
300148,0.91112095
300149,0.90243983
300150,0.9357736
300151,0.9665813
300152,0.85698193
300153,0.57942003
300154,0.80876946
300155,0.7566354
300156,0.36248714
300157,0.95455503
300158,0.5645337
300159,0.90950394
300160,0.587904
300161,0.6670433
300162,0.7621007
300163,0.83072
300164,0.7625555
300165,0.7238665
300166,0.98079437
300167,0.78701085
300168,0.8759188
300169,0.62829775
300170,0.43409044
300171,0.14823043
300172,0.92956513
300173,0.9554362
300174,0.9723265
300175,0.52126676
300176,0.8839372
300177,0.17241096
300178,0.89218426
300179,0.52171665
300180,0.6650499
300181,0.6377389
300182,0.12698984
300183,0.1726929
300184,0.5419455
300185,0.73080873
300186,0.7588845
300187,0.6485172
300188,0.44356006
300189,0.94753724
300190,0.7520371
300191,0.27163535
300192,0.7027782
300193,0.9876126
300194,0.8407167
300195,0.98040867
300196,0.3753416
300197,0.7445806
300198,0.94481087
300199,0.8811877
300200,0.66768634
300201,0.6528125
300202,0.78548366
300203,0.6002415
300204,0.38807738
300205,0.557906
300206,0.66755366
